Song,Artist,Genre,Likes,Reposts,Comments,Sound_Cloud_Link,SCUpload_Time,Snatched_on,Time_Difference
Toni Alvarez - Erextion (Original Mix),DSR Digital / DOPE,Hard Techno,4,2, ,https://soundcloud.com/dsrdigital/toni-alvarez-erextion-2,2023-10-01,2023-10-01,0.0
Doruksen - Intoxicated,Doruksen,Hard Techno,52000,637,467,https://soundcloud.com/doruksen/doruksen-intoxicated-1,2023-02-17,2023-10-01,226.0
DDRCK - Chapter 6 [AR002] | FREE DOWNLOAD,Altruism Records,Hard Techno,10100,"1,049","1,249",https://soundcloud.com/altruism-records/free-download-ddrck-chapter-6-ar002,2023-06-08,2023-10-01,115.0
Trepidation,Stan Christ,Techno,99100,"1,841","1,261",https://soundcloud.com/stanchrist/trepidation,2020-08-07,2023-10-01,1150.0
Thalassophobia,APHØTIC, ,51800,645,854,https://soundcloud.com/aphotic_music/thalassophobia,2023-01-18,2023-10-01,256.0
Nyctonian x OGUZ - GOLDEN SZN,Nyctonian,Techno,68200,902,945,https://soundcloud.com/nyctonian/oguz-x-nyctonian-golden-szn,2022-09-15,2023-10-01,381.0
Spedned - Fake Sequences,spedned,Electronic,3,1, ,https://soundcloud.com/spedned/spedned-fake-sequences,2023-10-01,2023-10-01,0.0
VERY DANGEROUS,ZUBA 3 (official),Trance,8,7,1,https://soundcloud.com/zuba-zua/very-dangerous,2023-10-01,2023-10-01,0.0
Soennichsen K - DJ Mit Einem Vollzeitjob (REVVA008),RÉV.zrt,Techno,4,1, ,https://soundcloud.com/revzrt/soennichsen-k-dj-mit-einem-vollzeitjob-revva008,2023-10-01,2023-10-01,0.0
Hollaback Girl (Free Download),Charlie Sparks, ,45400,810,282,https://soundcloud.com/charlie-sparks-531540495/hollaback-girl-free-download,2022-02-07,2023-10-01,601.0
6am In Berlin VOL.1,prodbyocx (ocx),Dance & EDM,6908,65,67,https://soundcloud.com/prodbyocx/6am-in-berlin-vol1,2022-12-11,2023-10-01,294.0
Lady hear me tonight (Techno),SQAXNS, ,5733,45,23,https://soundcloud.com/sqaxns/lady-yap-mp3,2023-01-01,2023-10-01,273.0
Heads Will Roll - (Funk Tribu mix),laut.bln,Trance Pop,40400,469,162,https://soundcloud.com/laut-bln/funk-tribu-heads-will-roll,2022-04-16,2023-10-01,533.0
Free DL | PER PLEKS & Acidus - FACE DOWN,The Finest Techno,Techno,11600,"2,205","3,618",https://soundcloud.com/thefinesttechno/free-dl-per-pleks-acidus-face-down,2023-02-04,2023-10-01,239.0
Stick Back,SQAXNS, ,545,6,3,https://soundcloud.com/sqaxns/stick-back,2023-05-29,2023-10-01,125.0
Bleeding out in peace,TEARS,Techno,1,1, ,https://soundcloud.com/user-524815020/bleeding-out-in-peace-1,2023-10-01,2023-10-01,0.0
